"","facility_id","common_name","address","zip_code","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","geom"
"58",2071,"NORTH POINT/ VAN NESS  SFMTA Operator Bathroom","North Point St & Van Ness Ave",94109,"Own",42,"Municipal Transportation Agency",75,-122.425523501,37.805138925,"POINT (-122.42552350099999 37.805138924999994)"
"59",1272,"Pier 19 - Bulkhead/Shed Building","The Embarcadero",94111,"Own",46,"Port",94005,-122.398857251,37.802966212,"POINT (-122.39885725099998 37.802966212)"
"60",84,"9th - Irving Parking Lot","1318 - 9th Ave",94122,"Own",42,"Municipal Transportation Agency",9480,-122.466064927,37.763594586,"POINT (-122.46606492699999 37.76359458600001)"
"61",745,"LRV Station - Forest Hill","354 Laguna Honda Blvd",94116,"Own",42,"Municipal Transportation Agency",27031,-122.459345158,37.747869625,"POINT (-122.45934515800002 37.74786962500002)"
"62",682,"FILLMORE SUBSTATION","1825 Fillmore St",94115,"Own",42,"Municipal Transportation Agency",4774,-122.433876767,37.786435766,"POINT (-122.43387676700002 37.78643576600001)"
"63",1049,"Margaret S. Hayward Recreation Center","800 Golden Gate Ave",94102,"Own",49,"Recreation And Parks",1257,-122.426874153,37.780656759,"POINT (-122.42687415300003 37.78065675900001)"
"64",726,"Fire Station #43","720 Moscow St",94112,"Own",38,"Fire Department",10800,-122.431678707,37.716348673,"POINT (-122.431678707 37.71634867300003)"
"65",1814,"Vehicle & Materials Storage","100 Martin Luther King Dr",94117,"Own",49,"Recreation And Parks",1200,-122.462144389,37.76860409,"POINT (-122.462144389 37.76860409)"
"66",1976,"Pier 70 - Pier 68 - Office Building #101","590 20TH ST",94107,"Own",46,"Port",56268,-122.385952312,37.762030099,"POINT (-122.38595231199997 37.762030099000015)"
"67",972,"Kezar Pavilion","755 Stanyan St",94117,"Own",49,"Recreation And Parks",24254,-122.453629527,37.767538459,"POINT (-122.45362952699998 37.76753845899998)"
"68",941,"Joe Dimaggio Bathrooms","651 Lombard St",94133,"Own",49,"Recreation And Parks",288,-122.412123091,37.802782238,"POINT (-122.41212309100001 37.80278223800002)"
"69",1403,"RICHMOND SUBSTATION","435 8th Ave",94118,"Own",42,"Municipal Transportation Agency",5998,-122.466586032,37.780193043,"POINT (-122.46658603200001 37.780193043)"
"70",1671,"Strybing Storage Shed 2","1199 09th Ave",94117,"Own",49,"Recreation And Parks",130,-122.4725295,37.7674776,"POINT (-122.47252950000001 37.76747760000001)"
"71",517,"Conservatory Greenhouse 4","100 John F Kennedy Dr",94117,"Own",49,"Recreation And Parks",2294,-122.460130212,37.773102406,"POINT (-122.46013021200002 37.77310240600002)"
"72",1291,"Pier 29 - *Bulkhead/Shed Building","1256 The Embarcadero",94133,"Own",46,"Port",155279,-122.402944438,37.805305563,"POINT (-122.40294443800002 37.80530556299999)"
"73",1621,"Southeast Health Center","2401 Keith St",94124,"Own",72,"Public Health",14604,-122.392001104,37.725645804,"POINT (-122.39200110399997 37.72564580400001)"
"74",1130,"Mission Station","630 Valencia St",94110,"Own",45,"Police Department",25000,-122.421969665,37.762680703,"POINT (-122.421969665 37.762680703)"
"75",978,"KIRKLAND DIVISION BLDG","2301 Stockton St",94133,"Own",42,"Municipal Transportation Agency",3036,-122.41073111,37.807090459,"POINT (-122.41073110999997 37.807090458999994)"
"76",675,"Fay House","2366 Leavenworth St",94133,"Own",49,"Recreation And Parks",4536,-122.417873409,37.803036254,"POINT (-122.41787340899998 37.803036254000006)"
"77",455,"CENTRAL SUBWAY PROJECT CHINATOWN STATION SITE","933-949 Stockton St",94108,"Own",42,"Municipal Transportation Agency",10053,-122.408274261,37.794656685,"POINT (-122.40827426099997 37.79465668500001)"
"78",1370,"Randolph Substation","8 Byxbee St",94112,"Own",42,"Municipal Transportation Agency",2215,-122.469624976,37.714545011,"POINT (-122.46962497599998 37.714545010999984)"
